Order ID,Order Status,Created Time,Product Name,Variation,Seller SKU,Quantity,SKU Unit Original Price,SKU Subtotal After Discount,SKU Platform Discount,SKU Seller Discount,Shipping Fee After Discount,Commission Fee,Settlement Amount
TT250401001,Completed,2026-04-01 10:23:00,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,2,85000,164000,4000,0,0,9840,150160
TT250401002,Completed,2026-04-01 11:45:00,Facial Wash Gentle,100ml,FW-GENTLE-100,1,45000,45000,2250,0,0,2700,40050
TT250402003,Completed,2026-04-02 09:12:00,Serum Brightening 30ml,30ml Sensitive,SRM-30ML-SEN,3,85000,247000,5000,5000,0,14820,222180
TT250402004,Cancelled,2026-04-02 14:30:00,Toner Hydra 150ml,150ml,TON-HYDRA-150,1,75000,75000,0,0,0,0,0
TT250403005,Completed,2026-04-03 08:55:00,Facial Wash Gentle,200ml,FW-GENTLE-200,2,60000,112000,0,0,0,6720,105280
TT250403006,Completed,2026-04-03 13:20:00,Toner Hydra 150ml,150ml,TON-HYDRA-150,1,75000,70000,5000,0,0,4200,61800
TT250404007,Completed,2026-04-04 07:45:00,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,1,85000,82000,3000,0,0,4920,73080
TT250404008,In Transit,2026-04-04 16:30:00,Facial Wash Gentle,100ml,FW-GENTLE-100,3,45000,131000,4000,0,0,7860,119140
TT250405009,Completed,2026-04-05 10:00:00,Pelembab Harian SPF30,,PLB-SPF30,2,95000,185000,5000,0,0,11100,168900
TT250405010,Completed,2026-04-05 14:15:00,Serum Brightening 30ml,30ml Natural,SRM-30ML-NAT,1,85000,82000,3000,0,0,4920,73080
